issue_id,repo,title,creator,created_at,url,processed_at
2978360909,Koniverse/Avail-Space,Notification Github Security,Mohapp2024,2025-04-08T01:32:34Z,https://github.com/Koniverse/Avail-Space/issues/66,2025-04-07 22:32:38
2978360887,dalindev/dalin.dev,Notification Github Security,Mohapp2024,2025-04-08T01:32:33Z,https://github.com/dalindev/dalin.dev/issues/18,2025-04-07 22:32:38
2978360867,zianksm/autoget,Notification Github Security,Mohapp2024,2025-04-08T01:32:32Z,https://github.com/zianksm/autoget/issues/11,2025-04-07 22:32:38
2978360832,Vazquez-Diego/criptowallet,Notification Github Security,Mohapp2024,2025-04-08T01:32:30Z,https://github.com/Vazquez-Diego/criptowallet/issues/1,2025-04-07 22:32:38
2978360829,hehonghui/android-jtm-issues,Notification Github Security,Mohapp2024,2025-04-08T01:32:29Z,https://github.com/hehonghui/android-jtm-issues/issues/21,2025-04-07 22:32:38
2978360785,cyrushmf69/nostalgea-nexus,Notification Github Security,Mohapp2024,2025-04-08T01:32:26Z,https://github.com/cyrushmf69/nostalgea-nexus/issues/1,2025-04-07 22:32:38
2978360767,Hassanrajput189/cpp-academic-portfolio,Notification Github Security,Faithbright,2025-04-08T01:32:25Z,https://github.com/Hassanrajput189/cpp-academic-portfolio/issues/1,2025-04-07 22:32:38
2978360754,WangStar1031/adverts_wordpress,Notification Github Security,Mohapp2024,2025-04-08T01:32:24Z,https://github.com/WangStar1031/adverts_wordpress/issues/24,2025-04-07 22:32:38
2978360730,JCSIVO/age-in-second,Notification Github Security,Mohapp2024,2025-04-08T01:32:22Z,https://github.com/JCSIVO/age-in-second/issues/4,2025-04-07 22:32:38
2978360649,eluv-io/avpipe,Notification Github Security,Mohapp2024,2025-04-08T01:32:17Z,https://github.com/eluv-io/avpipe/issues/88,2025-04-07 22:32:38
2978360641,nitinmehra09/SlothMachine-project,Notification Github Security,Faithbright,2025-04-08T01:32:17Z,https://github.com/nitinmehra09/SlothMachine-project/issues/2,2025-04-07 22:32:38
2978360592,petersCrazyPlayground/Block-Optimizer-Api-set,Notification Github Security,Mohapp2024,2025-04-08T01:32:14Z,https://github.com/petersCrazyPlayground/Block-Optimizer-Api-set/issues/1,2025-04-07 22:32:38
2978360566,bigtreetech/ADXL345,Notification Github Security,Mohapp2024,2025-04-08T01:32:13Z,https://github.com/bigtreetech/ADXL345/issues/5,2025-04-07 22:32:38
2978360582,Learn-And-Understand/LAU,Notification Github Security,Faithbright,2025-04-08T01:32:13Z,https://github.com/Learn-And-Understand/LAU/issues/1,2025-04-07 22:32:38
2978360510,P4-Games/ChatterPay-Backend,Notification Github Security,Mohapp2024,2025-04-08T01:32:09Z,https://github.com/P4-Games/ChatterPay-Backend/issues/439,2025-04-07 22:32:38
2978360494,Automattic/a3f3,Notification Github Security,Faithbright,2025-04-08T01:32:09Z,https://github.com/Automattic/a3f3/issues/3,2025-04-07 22:32:38
2978360470,ebobagu/-Wallet-Dashboard,Notification Github Security,Mohapp2024,2025-04-08T01:32:07Z,https://github.com/ebobagu/-Wallet-Dashboard/issues/1,2025-04-07 22:32:38
2978360452,StevenSong-sTs/course-text-scraper,Notification Github Security,Faithbright,2025-04-08T01:32:06Z,https://github.com/StevenSong-sTs/course-text-scraper/issues/1,2025-04-07 22:32:38
2978360447,OTR/social_parser,Notification Github Security,Mohapp2024,2025-04-08T01:32:06Z,https://github.com/OTR/social_parser/issues/2,2025-04-07 22:32:38
2978360336,FrancoGarciaC9701/Log-Analysis-with-Splunk,Notification Github Security,Faithbright,2025-04-08T01:32:00Z,https://github.com/FrancoGarciaC9701/Log-Analysis-with-Splunk/issues/1,2025-04-07 22:32:38
2978360320,DaroMacs/2021-top-datavis-techs,Notification Github Security,Mohapp2024,2025-04-08T01:32:00Z,https://github.com/DaroMacs/2021-top-datavis-techs/issues/1,2025-04-07 22:32:38
2978360330,tangqiaoboy/iOS-Pro,Notification Github Security,Mohapp2024,2025-04-08T01:32:00Z,https://github.com/tangqiaoboy/iOS-Pro/issues/25,2025-04-07 22:32:38
2978360319,Carlos-Ballon/Breast_cancer_risk_LAC-Arequipa,Notification Github Security,Faithbright,2025-04-08T01:31:59Z,https://github.com/Carlos-Ballon/Breast_cancer_risk_LAC-Arequipa/issues/2,2025-04-07 22:32:38
